Centers,Day,Gender,Age,AverageAttentiontime,Sumofattentiontime,Watchercount
Site5,Day24,Female,Child,2.05,310353.6,151392
Site5,Day24,Female,Young,2.32,1457368.32,628176
Site5,Day24,Female,Adult,2.51,476287.56,189756
Site5,Day24,Female,Senior,2.73,289459.17,106029
Site5,Day25,Male,Child,1.98,309085.92,156104
Site5,Day25,Male,Young,2.26,945077.76,418176
Site5,Day25,Male,Adult,2.45,797372.1,325458
Site5,Day25,Male,Senior,2.98,229460,77000
Site5,Day25,Female,Child,2.05,454491.15,221703
Site5,Day25,Female,Young,2.32,1508928,650400
Site5,Day25,Female,Adult,2.51,786975.36,313536
Site5,Day25,Female,Senior,2.73,342170.01,125337
Site5,Day26,Male,Child,1.98,255172.5,128875
Site5,Day26,Male,Young,2.26,758428.88,335588
Site5,Day26,Male,Adult,2.45,683907.7,279146
Site5,Day26,Male,Senior,2.98,208516.56,69972
Site5,Day26,Female,Child,2.05,325950,159000
Site5,Day26,Female,Young,2.32,1285242.88,553984
Site5,Day26,Female,Adult,2.51,520011.76,207176
Site5,Day26,Female,Senior,2.73,300736.8,110160
Site5,Day27,Male,Child,1.98,488505.6,246720
Site5,Day27,Male,Young,2.26,1655594.64,732564
Site5,Day27,Male,Adult,2.45,1253613.55,511679
Site5,Day27,Male,Senior,2.98,435613.42,146179
Site5,Day27,Female,Child,2.05,537362.4,262128
Site5,Day27,Female,Young,2.32,2232533.68,962299
Site5,Day27,Female,Adult,2.51,960587.04,382704
Site5,Day27,Female,Senior,2.73,529925.76,194112
Site5,Day28,Male,Child,1.98,374885.28,189336
Site5,Day28,Male,Young,2.26,1051785.92,465392
Site5,Day28,Male,Adult,2.45,1028095.95,419631
Site5,Day28,Male,Senior,2.98,361542.54,121323
Site5,Day28,Female,Child,2.05,490622.4,239328
Site5,Day28,Female,Young,2.32,1762671.04,759772
Site5,Day28,Female,Adult,2.51,759699.19,302669
Site5,Day28,Female,Senior,2.73,374351.25,137125
Site6,Day1,Male,Child,1.98,91309.68,46116
Site6,Day1,Male,Young,2.26,96913.32,42882
Site6,Day1,Male,Adult,2.45,103414.5,42210
Site6,Day1,Male,Senior,2.98,131793.48,44226
Site6,Day1,Female,Child,2.05,95226.6,46452
Site6,Day1,Female,Young,2.32,102506.88,44184
Site6,Day1,Female,Adult,2.51,110691,44100
Site6,Day1,Female,Senior,2.73,115806.6,42420
Site6,Day2,Male,Child,1.98,82910.52,41874
Site6,Day2,Male,Young,2.26,100140.6,44310
Site6,Day2,Male,Adult,2.45,110823.3,45234
Site6,Day2,Male,Senior,2.98,132794.76,44562
Site6,Day2,Female,Child,2.05,95657.1,46662
Site6,Day2,Female,Young,2.32,107086.56,46158
Site6,Day2,Female,Adult,2.51,107317.56,42756
Site6,Day2,Female,Senior,2.73,118214.46,43302
Site6,Day3,Male,Child,1.98,85904.28,43386
Site6,Day3,Male,Young,2.26,97293,43050
Site6,Day3,Male,Adult,2.45,110720.4,45192
Site6,Day3,Male,Senior,2.98,127412.88,42756
Site6,Day3,Female,Child,2.05,89027.4,43428
Site6,Day3,Female,Young,2.32,107671.2,46410
Site6,Day3,Female,Adult,2.51,113010.24,45024
Site6,Day3,Female,Senior,2.73,126928.62,46494
Site6,Day4,Male,Child,1.98,82661.04,41748
Site6,Day4,Male,Young,2.26,94350.48,41748
Site6,Day4,Male,Adult,2.45,103105.8,42084
Site6,Day4,Male,Senior,2.98,137050.2,45990
Site6,Day4,Female,Child,2.05,85583.4,41748
Site6,Day4,Female,Young,2.32,106209.6,45780
Site6,Day4,Female,Adult,2.51,110269.32,43932
Site6,Day4,Female,Senior,2.73,119705.04,43848
Site6,Day5,Male,Child,1.98,87318,44100
Site6,Day5,Male,Young,2.26,104886.6,46410
Site6,Day5,Male,Adult,2.45,109897.2,44856
Site6,Day5,Male,Senior,2.98,135673.44,45528
Site6,Day5,Female,Child,2.05,93246.3,45486
Site6,Day5,Female,Young,2.32,104260.8,44940
Site6,Day5,Female,Adult,2.51,115434.9,45990
Site6,Day5,Female,Senior,2.73,126126,46200
Site6,Day6,Male,Child,1.98,91143.36,46032
Site6,Day6,Male,Young,2.26,105456.12,46662
Site6,Day6,Male,Adult,2.45,104855.1,42798
Site6,Day6,Male,Senior,2.98,125660.64,42168
Site6,Day6,Female,Child,2.05,86961,42420
Site6,Day6,Female,Young,2.32,106404.48,45864
Site6,Day6,Female,Adult,2.51,111745.2,44520
Site6,Day6,Female,Senior,2.73,114430.68,41916
Site6,Day7,Male,Child,1.98,85654.8,43260
Site6,Day7,Male,Young,2.26,100140.6,44310
Site6,Day7,Male,Adult,2.45,111234.9,45402
Site6,Day7,Male,Senior,2.98,132294.12,44394
Site6,Day7,Female,Child,2.05,94623.9,46158
Site6,Day7,Female,Young,2.32,98316.96,42378
Site6,Day7,Female,Adult,2.51,114696.96,45696
Site6,Day7,Female,Senior,2.73,116838.54,42798
Site6,Day8,Male,Child,1.98,91309.68,46116
Site6,Day8,Male,Young,2.26,98242.2,43470
Site6,Day8,Male,Adult,2.45,113704.5,46410
Site6,Day8,Male,Senior,2.98,123783.24,41538
Site6,Day8,Female,Child,2.05,87822,42840
Site6,Day8,Female,Young,2.32,103481.28,44604
Site6,Day8,Female,Adult,2.51,108160.92,43092
Site6,Day8,Female,Senior,2.73,114660,42000
Site6,Day9,Male,Child,1.98,91642.32,46284
Site6,Day9,Male,Young,2.26,96533.64,42714
Site6,Day9,Male,Adult,2.45,106089.9,43302
Site6,Day9,Male,Senior,2.98,137676,46200
Site6,Day9,Female,Child,2.05,90491.1,44142
Site6,Day9,Female,Young,2.32,106989.12,46116
Site6,Day9,Female,Adult,2.51,104682.06,41706
Site6,Day9,Female,Senior,2.73,120163.68,44016
Site6,Day10,Male,Child,1.98,88981.2,44940
Site6,Day10,Male,Young,2.26,95299.68,42168
Site6,Day10,Male,Adult,2.45,106501.5,43470
Site6,Day10,Male,Senior,2.98,133295.4,44730
Site6,Day10,Female,Child,2.05,88769.1,43302
Site6,Day10,Female,Young,2.32,98122.08,42294
Site6,Day10,Female,Adult,2.51,107844.66,42966
Site6,Day10,Female,Senior,2.73,123718.14,45318
Site6,Day11,Male,Child,1.98,90644.4,45780
Site6,Day11,Male,Young,2.26,97672.68,43218
Site6,Day11,Male,Adult,2.45,102797.1,41958
Site6,Day11,Male,Senior,2.98,131042.52,43974
Site6,Day11,Female,Child,2.05,90921.6,44352
Site6,Day11,Female,Young,2.32,96563.04,41622
Site6,Day11,Female,Adult,2.51,116594.52,46452
Site6,Day11,Female,Senior,2.73,122915.52,45024
Site6,Day12,Male,Child,1.98,90311.76,45612
Site6,Day12,Male,Young,2.26,97957.44,43344
Site6,Day12,Male,Adult,2.45,102900,42000
Site6,Day12,Male,Senior,2.98,128664.48,43176
Site6,Day12,Female,Child,2.05,87735.9,42798
Site6,Day12,Female,Young,2.32,96270.72,41496
Site6,Day12,Female,Adult,2.51,111956.04,44604
Site6,Day12,Female,Senior,2.73,113972.04,41748
Site6,Day13,Male,Child,1.98,91725.48,46326
Site6,Day13,Male,Young,2.26,96913.32,42882
Site6,Day13,Male,Adult,2.45,102488.4,41832
Site6,Day13,Male,Senior,2.98,124909.68,41916
Site6,Day13,Female,Child,2.05,94021.2,45864
Site6,Day13,Female,Young,2.32,105527.52,45486
Site6,Day13,Female,Adult,2.51,109425.96,43596
Site6,Day13,Female,Senior,2.73,119819.7,43890
Site6,Day14,Male,Child,1.98,90311.76,45612
Site6,Day14,Male,Young,2.26,101374.56,44856
Site6,Day14,Male,Adult,2.45,110720.4,45192
Site6,Day14,Male,Senior,2.98,137425.68,46116
Site6,Day14,Female,Child,2.05,92385.3,45066
Site6,Day14,Female,Young,2.32,99876,43050
Site6,Day14,Female,Adult,2.51,106368.78,42378
Site6,Day14,Female,Senior,2.73,113284.08,41496
Site6,Day15,Male,Child,1.98,89895.96,45402
Site6,Day15,Male,Young,2.26,93780.96,41496
Site6,Day15,Male,Adult,2.45,112881.3,46074
Site6,Day15,Male,Senior,2.98,123783.24,41538
Site6,Day15,Female,Child,2.05,88596.9,43218
Site6,Day15,Female,Young,2.32,103773.6,44730
Site6,Day15,Female,Adult,2.51,112061.46,44646
Site6,Day15,Female,Senior,2.73,114201.36,41832
Site6,Day16,Male,Child,1.98,91642.32,46284
Site6,Day16,Male,Young,2.26,102703.44,45444
Site6,Day16,Male,Adult,2.45,112058.1,45738
Site6,Day16,Male,Senior,2.98,138176.64,46368
Site6,Day16,Female,Child,2.05,90318.9,44058
Site6,Day16,Female,Young,2.32,106014.72,45696
Site6,Day16,Female,Adult,2.51,115856.58,46158
Site6,Day16,Female,Senior,2.73,116265.24,42588
Site6,Day17,Male,Child,1.98,90810.72,45864
Site6,Day17,Male,Young,2.26,103083.12,45612
Site6,Day17,Male,Adult,2.45,104752.2,42756
Site6,Day17,Male,Senior,2.98,135047.64,45318
Site6,Day17,Female,Child,2.05,88855.2,43344
Site6,Day17,Female,Young,2.32,107476.32,46326
Site6,Day17,Female,Adult,2.51,104576.64,41664
Site6,Day17,Female,Senior,2.73,113284.08,41496
Site6,Day18,Male,Child,1.98,86902.2,43890
Site6,Day18,Male,Young,2.26,105456.12,46662
Site6,Day18,Male,Adult,2.45,107016,43680
Site6,Day18,Male,Senior,2.98,136299.24,45738
Site6,Day18,Female,Child,2.05,95226.6,46452
Site6,Day18,Female,Young,2.32,100947.84,43512
Site6,Day18,Female,Adult,2.51,107739.24,42924
Site6,Day18,Female,Senior,2.73,126699.3,46410
Site6,Day19,Male,Child,1.98,87650.64,44268
Site6,Day19,Male,Young,2.26,100710.12,44562
Site6,Day19,Male,Adult,2.45,101871,41580
Site6,Day19,Male,Senior,2.98,137300.52,46074
Site6,Day19,Female,Child,2.05,87477.6,42672
Site6,Day19,Female,Young,2.32,102409.44,44142
Site6,Day19,Female,Adult,2.51,114169.86,45486
Site6,Day19,Female,Senior,2.73,120507.66,44142
Site6,Day20,Male,Child,1.98,82494.72,41664
Site6,Day20,Male,Young,2.26,93875.88,41538
Site6,Day20,Male,Adult,2.45,108353.7,44226
Site6,Day20,Male,Senior,2.98,134421.84,45108
Site6,Day20,Female,Child,2.05,89630.1,43722
Site6,Day20,Female,Young,2.32,98414.4,42420
Site6,Day20,Female,Adult,2.51,116699.94,46494
Site6,Day20,Female,Senior,2.73,126699.3,46410
Site6,Day21,Male,Child,1.98,87567.48,44226
Site6,Day21,Male,Young,2.26,99666,44100
Site6,Day21,Male,Adult,2.45,107839.2,44016
Site6,Day21,Male,Senior,2.98,130792.2,43890
Site6,Day21,Female,Child,2.05,87219.3,42546
Site6,Day21,Female,Young,2.32,97050.24,41832
Site6,Day21,Female,Adult,2.51,107950.08,43008
Site6,Day21,Female,Senior,2.73,115233.3,42210
Site6,Day22,Male,Child,1.98,84740.04,42798
Site6,Day22,Male,Young,2.26,102133.92,45192
Site6,Day22,Male,Adult,2.45,107427.6,43848
Site6,Day22,Male,Senior,2.98,124909.68,41916
Site6,Day22,Female,Child,2.05,85152.9,41538
Site6,Day22,Female,Young,2.32,97342.56,41958
Site6,Day22,Female,Adult,2.51,115645.74,46074
Site6,Day22,Female,Senior,2.73,121654.26,44562
Site6,Day23,Male,Child,1.98,82245.24,41538
Site6,Day23,Male,Young,2.26,99001.56,43806
Site6,Day23,Male,Adult,2.45,112263.9,45822
Site6,Day23,Male,Senior,2.98,127162.56,42672
Site6,Day23,Female,Child,2.05,87133.2,42504
Site6,Day23,Female,Young,2.32,105332.64,45402
Site6,Day23,Female,Adult,2.51,114591.54,45654
Site6,Day23,Female,Senior,2.73,127387.26,46662
Site6,Day24,Male,Child,1.98,88731.72,44814
Site6,Day24,Male,Young,2.26,96628.56,42756
Site6,Day24,Male,Adult,2.45,107016,43680
Site6,Day24,Male,Senior,2.98,126286.44,42378
Site6,Day24,Female,Child,2.05,89888.4,43848
Site6,Day24,Female,Young,2.32,99876,43050
Site6,Day24,Female,Adult,2.51,113431.92,45192
Site6,Day24,Female,Senior,2.73,125782.02,46074
Site6,Day25,Male,Child,1.98,91060.2,45990
Site6,Day25,Male,Young,2.26,96818.4,42840
Site6,Day25,Male,Adult,2.45,103620.3,42294
Site6,Day25,Male,Senior,2.98,129790.92,43554
Site6,Day25,Female,Child,2.05,95312.7,46494
Site6,Day25,Female,Young,2.32,101532.48,43764
Site6,Day25,Female,Adult,2.51,115856.58,46158
Site6,Day25,Female,Senior,2.73,124062.12,45444
Site6,Day26,Male,Child,1.98,90311.76,45612
Site6,Day26,Male,Young,2.26,99286.32,43932
Site6,Day26,Male,Adult,2.45,103311.6,42168
Site6,Day26,Male,Senior,2.98,131543.16,44142
Site6,Day26,Female,Child,2.05,92729.7,45234
Site6,Day26,Female,Young,2.32,105917.28,45654
Site6,Day26,Female,Adult,2.51,115118.64,45864
Site6,Day26,Female,Senior,2.73,118329.12,43344
Site6,Day27,Male,Child,1.98,86569.56,43722
Site6,Day27,Male,Young,2.26,101279.64,44814
Site6,Day27,Male,Adult,2.45,106501.5,43470
Site6,Day27,Male,Senior,2.98,124909.68,41916
Site6,Day27,Female,Child,2.05,85325.1,41622
Site6,Day27,Female,Young,2.32,102214.56,44058
Site6,Day27,Female,Adult,2.51,111534.36,44436
Site6,Day27,Female,Senior,2.73,120278.34,44058
Site6,Day28,Male,Child,1.98,88731.72,44814
Site6,Day28,Male,Young,2.26,103747.56,45906
Site6,Day28,Male,Adult,2.45,105060.9,42882
Site6,Day28,Male,Senior,2.98,133796.04,44898
Site6,Day28,Female,Child,2.05,90491.1,44142
Site6,Day28,Female,Young,2.32,106404.48,45864
Site6,Day28,Female,Adult,2.51,108266.34,43134
Site6,Day28,Female,Senior,2.73,120393,44100
Site7,Day1,Male,Child,1.98,267442.56,135072
Site7,Day1,Male,Young,2.26,738134.08,326608
Site7,Day1,Male,Adult,2.45,492303,200940
Site7,Day1,Male,Senior,2.98,175885.56,59022
Site7,Day1,Female,Child,2.05,266565.6,130032
Site7,Day1,Female,Young,2.32,946970.64,408177
Site7,Day1,Female,Adult,2.51,437161.68,174168
Site7,Day1,Female,Senior,2.73,222069.12,81344
Site7,Day2,Male,Child,1.98,273701.34,138233
Site7,Day2,Male,Young,2.26,844821.9,373815
Site7,Day2,Male,Adult,2.45,654659.6,267208
Site7,Day2,Male,Senior,2.98,202735.36,68032
Site7,Day2,Female,Child,2.05,314388,153360
Site7,Day2,Female,Young,2.32,1265485.76,545468
Site7,Day2,Female,Adult,2.51,547995.75,218325
Site7,Day2,Female,Senior,2.73,262866.24,96288
Site7,Day3,Male,Child,1.98,299661.12,151344
Site7,Day3,Male,Young,2.26,723923.2,320320
Site7,Day3,Male,Adult,2.45,656663.7,268026
Site7,Day3,Male,Senior,2.98,180689.32,60634
Site7,Day3,Female,Child,2.05,320335.05,156261
Site7,Day3,Female,Young,2.32,1227994.56,529308
Site7,Day3,Female,Adult,2.51,521076,207600
Site7,Day3,Female,Senior,2.73,268686.6,98420
Site7,Day4,Male,Child,1.98,358490.88,181056
Site7,Day4,Male,Young,2.26,932272.6,412510
Site7,Day4,Male,Adult,2.45,839333.25,342585
Site7,Day4,Male,Senior,2.98,250570.32,84084
Site7,Day4,Female,Child,2.05,382134.35,186407
Site7,Day4,Female,Young,2.32,1587548.16,684288
Site7,Day4,Female,Adult,2.51,737721.63,293913
Site7,Day4,Female,Senior,2.73,374949.12,137344
Site7,Day5,Male,Child,1.98,294505.2,148740
Site7,Day5,Male,Young,2.26,866863.68,383568
Site7,Day5,Male,Adult,2.45,622692,254160
Site7,Day5,Male,Senior,2.98,190869,64050
Site7,Day5,Female,Child,2.05,322745.85,157437
Site7,Day5,Female,Young,2.32,1193769.92,514556
Site7,Day5,Female,Adult,2.51,489811.44,195144
Site7,Day5,Female,Senior,2.73,265323.24,97188
Site7,Day6,Male,Child,1.98,558807.48,282226
Site7,Day6,Male,Young,2.26,1520726.88,672888
Site7,Day6,Male,Adult,2.45,1201276.65,490317
Site7,Day6,Male,Senior,2.98,433876.08,145596
Site7,Day6,Female,Child,2.05,567891,277020
Site7,Day6,Female,Young,2.32,2085747.28,899029
Site7,Day6,Female,Adult,2.51,882636.48,351648
Site7,Day6,Female,Senior,2.73,494471.25,181125
Site7,Day7,Male,Child,1.98,469450.08,237096
Site7,Day7,Male,Young,2.26,1150023.6,508860
Site7,Day7,Male,Adult,2.45,963107.25,393105
Site7,Day7,Male,Senior,2.98,340396.46,114227
Site7,Day7,Female,Child,2.05,406332.55,198211
Site7,Day7,Female,Young,2.32,1801143.6,776355
Site7,Day7,Female,Adult,2.51,782116,311600
Site7,Day7,Female,Senior,2.73,406142.1,148770
Site7,Day8,Male,Child,1.98,252568.8,127560
Site7,Day8,Male,Young,2.26,726273.6,321360
Site7,Day8,Male,Adult,2.45,531650,217000
Site7,Day8,Male,Senior,2.98,194367.52,65224
Site7,Day8,Female,Child,2.05,275294.5,134290
Site7,Day8,Female,Young,2.32,1100728.64,474452
Site7,Day8,Female,Adult,2.51,396831,158100
Site7,Day8,Female,Senior,2.73,214414.2,78540
Site7,Day9,Male,Child,1.98,245244.78,123861
Site7,Day9,Male,Young,2.26,758885.4,335790
Site7,Day9,Male,Adult,2.45,586182.1,239258
Site7,Day9,Male,Senior,2.98,220067.04,73848
Site7,Day9,Female,Child,2.05,301924,147280
Site7,Day9,Female,Young,2.32,1207448.64,520452
Site7,Day9,Female,Adult,2.51,500817.79,199529
Site7,Day9,Female,Senior,2.73,255675.42,93654
Site7,Day10,Male,Child,1.98,308339.46,155727
Site7,Day10,Male,Young,2.26,851922.82,376957
Site7,Day10,Male,Adult,2.45,652591.8,266364
Site7,Day10,Male,Senior,2.98,184870.26,62037
Site7,Day10,Female,Child,2.05,293137.7,142994
Site7,Day10,Female,Young,2.32,1142651.04,492522
Site7,Day10,Female,Adult,2.51,491899.76,195976
Site7,Day10,Female,Senior,2.73,308053.2,112840
Site7,Day11,Male,Child,1.98,341627.22,172539
Site7,Day11,Male,Young,2.26,1037326.44,458994
Site7,Day11,Male,Adult,2.45,751272.9,306642
Site7,Day11,Male,Senior,2.98,255111.84,85608
Site7,Day11,Female,Child,2.05,362394.9,176778
Site7,Day11,Female,Young,2.32,1622366.72,699296
Site7,Day11,Female,Adult,2.51,784324.8,312480
Site7,Day11,Female,Senior,2.73,319934.16,117192
Site7,Day12,Male,Child,1.98,301510.44,152278
Site7,Day12,Male,Young,2.26,791985.36,350436
Site7,Day12,Male,Adult,2.45,698470.5,285090
Site7,Day12,Male,Senior,2.98,196501.2,65940
Site7,Day12,Female,Child,2.05,296952.75,144855
Site7,Day12,Female,Young,2.32,1407367.68,606624
Site7,Day12,Female,Adult,2.51,556707.96,221796
Site7,Day12,Female,Senior,2.73,276985.8,101460
Site7,Day13,Male,Child,1.98,510275.7,257715
Site7,Day13,Male,Young,2.26,1485592.92,657342
Site7,Day13,Male,Adult,2.45,1037437.8,423444
Site7,Day13,Male,Senior,2.98,375363.78,125961
Site7,Day13,Female,Child,2.05,538444.8,262656
Site7,Day13,Female,Young,2.32,2490009.6,1073280
Site7,Day13,Female,Adult,2.51,824158.5,328350
Site7,Day13,Female,Senior,2.73,496816.32,181984
Site7,Day14,Male,Child,1.98,498762,251900
Site7,Day14,Male,Young,2.26,1095123.68,484568
Site7,Day14,Male,Adult,2.45,974257.2,397656
Site7,Day14,Male,Senior,2.98,370473.6,124320
Site7,Day14,Female,Child,2.05,393649.2,192024
Site7,Day14,Female,Young,2.32,1970654.4,849420
Site7,Day14,Female,Adult,2.51,796729.22,317422
Site7,Day14,Female,Senior,2.73,386084.79,141423
Site7,Day15,Male,Child,1.98,268056.36,135382
Site7,Day15,Male,Young,2.26,694837,307450
Site7,Day15,Male,Adult,2.45,574084,234320
Site7,Day15,Male,Senior,2.98,148255,49750
Site7,Day15,Female,Child,2.05,272108.8,132736
Site7,Day15,Female,Young,2.32,1153794,497325
Site7,Day15,Female,Adult,2.51,498139.62,198462
Site7,Day15,Female,Senior,2.73,213240.3,78110
Site7,Day16,Male,Child,1.98,241104.6,121770
Site7,Day16,Male,Young,2.26,668083.12,295612
Site7,Day16,Male,Adult,2.45,560070,228600
Site7,Day16,Male,Senior,2.98,195437.34,65583
Site7,Day16,Female,Child,2.05,271832.05,132601
Site7,Day16,Female,Young,2.32,1077322.16,464363
Site7,Day16,Female,Adult,2.51,547566.54,218154
Site7,Day16,Female,Senior,2.73,256265.1,93870
Site7,Day17,Male,Child,1.98,312869.7,158015
Site7,Day17,Male,Young,2.26,789456.42,349317
Site7,Day17,Male,Adult,2.45,697811.45,284821
Site7,Day17,Male,Senior,2.98,222275.22,74589
Site7,Day17,Female,Child,2.05,277760.65,135493
Site7,Day17,Female,Young,2.32,1247417.6,537680
Site7,Day17,Female,Adult,2.51,552807.42,220242
Site7,Day17,Female,Senior,2.73,278460,102000
Site7,Day18,Male,Child,1.98,353905.2,178740
Site7,Day18,Male,Young,2.26,1092874.98,483573
Site7,Day18,Male,Adult,2.45,804972,328560
Site7,Day18,Male,Senior,2.98,259832.16,87192
Site7,Day18,Female,Child,2.05,384938.75,187775
Site7,Day18,Female,Young,2.32,1602099.2,690560
Site7,Day18,Female,Adult,2.51,714042.29,284479
Site7,Day18,Female,Senior,2.73,325224.9,119130
Site7,Day19,Male,Child,1.98,304613.1,153845
Site7,Day19,Male,Young,2.26,806745.42,356967
Site7,Day19,Male,Adult,2.45,619715.25,252945
Site7,Day19,Male,Senior,2.98,228443.82,76659
Site7,Day19,Female,Child,2.05,266500,130000
Site7,Day19,Female,Young,2.32,1218389.76,525168
Site7,Day19,Female,Adult,2.51,574626.85,228935
Site7,Day19,Female,Senior,2.73,281310.12,103044
Site7,Day20,Male,Child,1.98,515300.94,260253
Site7,Day20,Male,Young,2.26,1709667.4,756490
Site7,Day20,Male,Adult,2.45,1118927.25,456705
Site7,Day20,Male,Senior,2.98,400243.8,134310
Site7,Day20,Female,Child,2.05,589223.3,287426
Site7,Day20,Female,Young,2.32,2027568.64,873952
Site7,Day20,Female,Adult,2.51,1033776.13,411863
Site7,Day20,Female,Senior,2.73,494446.68,181116
Site7,Day21,Male,Child,1.98,393101.28,198536
Site7,Day21,Male,Young,2.26,1118790.4,495040
Site7,Day21,Male,Adult,2.45,1044998.5,426530
Site7,Day21,Male,Senior,2.98,294376.32,98784
Site7,Day21,Female,Child,2.05,417216,203520
Site7,Day21,Female,Young,2.32,1721358.8,741965
Site7,Day21,Female,Adult,2.51,830687.01,330951
Site7,Day21,Female,Senior,2.73,437684.52,160324
Site7,Day22,Male,Child,1.98,212129.28,107136
Site7,Day22,Male,Young,2.26,733442.32,324532
Site7,Day22,Male,Adult,2.45,550123,224540
Site7,Day22,Male,Senior,2.98,167481.96,56202
Site7,Day22,Female,Child,2.05,231414.25,112885
Site7,Day22,Female,Young,2.32,923807.76,398193
Site7,Day22,Female,Adult,2.51,485052.48,193248
Site7,Day22,Female,Senior,2.73,206579.1,75670
Site7,Day23,Male,Child,1.98,229299.84,115808
Site7,Day23,Male,Young,2.26,770691.64,341014
Site7,Day23,Male,Adult,2.45,515715.2,210496
Site7,Day23,Male,Senior,2.98,192031.2,64440
Site7,Day23,Female,Child,2.05,245651.5,119830
Site7,Day23,Female,Young,2.32,1155708,498150
Site7,Day23,Female,Adult,2.51,489299.4,194940
Site7,Day23,Female,Senior,2.73,262448.55,96135
Site7,Day24,Male,Child,1.98,265696.2,134190
Site7,Day24,Male,Young,2.26,699370.56,309456
Site7,Day24,Male,Adult,2.45,613068.4,250232
Site7,Day24,Male,Senior,2.98,233530.68,78366
Site7,Day24,Female,Child,2.05,295815,144300
Site7,Day24,Female,Young,2.32,1229456.16,529938
Site7,Day24,Female,Adult,2.51,517577.06,206206
Site7,Day24,Female,Senior,2.73,232481.34,85158
Site7,Day25,Male,Child,1.98,356900.94,180253
Site7,Day25,Male,Young,2.26,965020,427000
Site7,Day25,Male,Adult,2.45,806559.6,329208
Site7,Day25,Male,Senior,2.98,292159.2,98040
Site7,Day25,Female,Child,2.05,394471.25,192425
Site7,Day25,Female,Young,2.32,1790617.76,771818
Site7,Day25,Female,Adult,2.51,684492.06,272706
Site7,Day25,Female,Senior,2.73,369431.79,135323
Site7,Day26,Male,Child,1.98,268472.16,135592
Site7,Day26,Male,Young,2.26,823932.72,364572
Site7,Day26,Male,Adult,2.45,616593.95,251671
Site7,Day26,Male,Senior,2.98,191041.84,64108
Site7,Day26,Female,Child,2.05,303096.6,147852
Site7,Day26,Female,Young,2.32,1203987.2,518960
Site7,Day26,Female,Adult,2.51,488184.96,194496
Site7,Day26,Female,Senior,2.73,250368.3,91710
Site7,Day27,Male,Child,1.98,492598.26,248787
Site7,Day27,Male,Young,2.26,1434539.52,634752
Site7,Day27,Male,Adult,2.45,1275923.25,520785
Site7,Day27,Male,Senior,2.98,351556.56,117972
Site7,Day27,Female,Child,2.05,632576.7,308574
Site7,Day27,Female,Young,2.32,2205642.56,950708
Site7,Day27,Female,Adult,2.51,961385.22,383022
Site7,Day27,Female,Senior,2.73,519191.4,190180
Site7,Day28,Male,Child,1.98,429036.3,216685
Site7,Day28,Male,Young,2.26,1174888.12,519862
Site7,Day28,Male,Adult,2.45,937174,382520
Site7,Day28,Male,Senior,2.98,296405.7,99465
Site7,Day28,Female,Child,2.05,450549,219780
Site7,Day28,Female,Young,2.32,1766162.64,761277
Site7,Day28,Female,Adult,2.51,821282.04,327204
Site7,Day28,Female,Senior,2.73,408519.93,149641
Site8,Day1,Male,Child,1.98,223248.96,112752
Site8,Day1,Male,Young,2.26,639598.08,283008
Site8,Day1,Male,Adult,2.45,536564.7,219006
Site8,Day1,Male,Senior,2.98,156843.36,52632
Site8,Day1,Female,Child,2.05,252976.15,123403
Site8,Day1,Female,Young,2.32,1106315.2,476860
Site8,Day1,Female,Adult,2.51,421152.9,167790
Site8,Day1,Female,Senior,2.73,238634.76,87412
Site8,Day2,Male,Child,1.98,272002.5,137375
Site8,Day2,Male,Young,2.26,804797.3,356105
Site8,Day2,Male,Adult,2.45,577886.4,235872
Site8,Day2,Male,Senior,2.98,185403.68,62216
Site8,Day2,Female,Child,2.05,234807,114540
Site8,Day2,Female,Young,2.32,1098120.96,473328
Site8,Day2,Female,Adult,2.51,497165.74,198074
Site8,Day2,Female,Senior,2.73,217231.56,79572
Site8,Day3,Male,Child,1.98,253222.2,127890
Site8,Day3,Male,Young,2.26,715703.58,316683
Site8,Day3,Male,Adult,2.45,593365.5,242190
Site8,Day3,Male,Senior,2.98,236901.06,79497
Site8,Day3,Female,Child,2.05,297610.8,145176
Site8,Day3,Female,Young,2.32,1252069.2,539685
Site8,Day3,Female,Adult,2.51,541821.15,215865
Site8,Day3,Female,Senior,2.73,258017.76,94512
Site8,Day4,Male,Child,1.98,376043.58,189921
Site8,Day4,Male,Young,2.26,1020507.52,451552
Site8,Day4,Male,Adult,2.45,729619.8,297804
Site8,Day4,Male,Senior,2.98,307291.64,103118
Site8,Day4,Female,Child,2.05,374824.05,182841
Site8,Day4,Female,Young,2.32,1770484.8,763140
Site8,Day4,Female,Adult,2.51,603022.48,240248
Site8,Day4,Female,Senior,2.73,343177.38,125706
Site8,Day5,Male,Child,1.98,285405.12,144144
Site8,Day5,Male,Young,2.26,869751.96,384846
Site8,Day5,Male,Adult,2.45,608178.2,248236
Site8,Day5,Male,Senior,2.98,210939.3,70785
Site8,Day5,Female,Child,2.05,267119.1,130302
Site8,Day5,Female,Young,2.32,1144954.8,493515
Site8,Day5,Female,Adult,2.51,568251.45,226395
Site8,Day5,Female,Senior,2.73,259248.99,94963
Site8,Day6,Male,Child,1.98,601112.16,303592
Site8,Day6,Male,Young,2.26,1418653.98,627723
Site8,Day6,Male,Adult,2.45,1356743.85,553773
Site8,Day6,Male,Senior,2.98,410608.24,137788
